fault,run,llm_model,detector_mode,success,reached_end,abort_reason,eval_pass,wall_time_s,sim_time_s,steps,final_t,final_phase,final_control_zone,final_safe_now,final_fault_flag,final_anomaly_ratio,final_control_reasons,acted,t_sp_change,time_to_first_action,reprompts,unsafe_seconds,warning_seconds,safe_seconds,final_T_sp,final_L_sp,final_Fin_sp,rollout_time_to_safe,rollout_unsafe_fraction,rollout_peak_T_meas,rollout_peak_u_cool,rollout_peak_u_valve,rollout_peak_u_pump,action_calls,action_latency_sum_s,action_latency_avg_s,action_prompt_tokens_sum,action_completion_tokens_sum,action_total_tokens_sum,eval_summary,eval_fail_reason
fouling,0,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,46.535036400018726,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4531.0,4531.0,1,491,286,7223,310.0,10.0,0.025499999999999995,129.0,0.11790141251081003,311.9449182176569,1.0,0.4824918146547149,1.0,2,4.390851900039706,2.195425950019853,8946,175,9121,"PASS: time_to_safe=129.0s, unsafe_fraction=0.118",
fouling,1,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,47.436070499999914,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4730.0,4730.0,1,363,266,7371,310.0,10.0,0.025499999999999995,143.0,0.09051987767584098,311.9450330459729,0.999999999999913,0.4797533608903557,1.0,2,4.077813000010792,2.038906500005396,8932,166,9098,"PASS: time_to_safe=143.0s, unsafe_fraction=0.091",
fouling,2,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,43.00417799997376,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4667.0,4667.0,1,408,270,7322,310.0,10.0,0.025499999999999995,129.0,0.09870987098709871,311.9457372993568,1.0,0.4817693466158786,1.0,2,3.756390900001861,1.8781954500009306,8934,166,9100,"PASS: time_to_safe=129.0s, unsafe_fraction=0.099",
fouling,3,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,43.9671344999806,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4577.0,4577.0,1,446,233,7321,310.0,10.0,0.025499999999999995,129.0,0.10955302366345311,311.94501708995244,1.0,0.4785448462780784,1.0,2,3.5428804000257514,1.7714402000128757,8934,174,9108,"PASS: time_to_safe=129.0s, unsafe_fraction=0.110",
fouling,4,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,45.30441470001824,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4799.0,4799.0,1,302,242,7456,310.0,10.0,0.025499999999999995,129.0,0.07591377694470477,311.92248379105854,0.9968917169749787,0.4797846435487021,1.0,2,3.412100699963048,1.706050349981524,8950,177,9127,"PASS: time_to_safe=129.0s, unsafe_fraction=0.076",
fouling,5,gpt-4.1-mini,3sigma,0,1,t_end_reached,0,74.00804609997431,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4698.0,4698.0,5,1309,310,6381,310.0,9.5,0.02833333333333333,181.0,0.37734706238643245,313.1449461235472,1.0,0.5079463489218906,1.0,6,11.374891200044658,1.895815200007443,26928,539,27467,FAIL: unsafe_fraction too high (0.377),unsafe_fraction
fouling,6,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,52.20154929999262,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4410.0,4410.0,1,551,353,7096,310.0,10.0,0.025499999999999995,129.0,0.13286908077994428,311.94628675433955,1.0,0.47980855433344083,1.0,2,5.866609400021844,2.933304700010922,8934,157,9091,"PASS: time_to_safe=129.0s, unsafe_fraction=0.133",
fouling,7,gpt-4.1-mini,3sigma,0,1,t_end_reached,0,97.08107019995805,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4601.0,4601.0,5,1420,313,6267,310.0,9.5,0.02833333333333333,147.0,0.3901147396293027,313.2162677492596,1.0,0.516715520557028,1.0,6,27.461211500049103,4.5768685833415175,27036,531,27567,FAIL: unsafe_fraction too high (0.390),unsafe_fraction
fouling,8,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,50.975589799985755,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4457.0,4457.0,1,505,309,7186,310.0,10.0,0.025499999999999995,129.0,0.12729325430426192,311.9456741227053,1.0,0.4813534593627816,1.0,2,3.2465072000049986,1.6232536000024993,8932,163,9095,"PASS: time_to_safe=129.0s, unsafe_fraction=0.127",
fouling,9,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,49.22794420004357,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4695.0,4695.0,1,391,272,7337,310.0,10.0,0.025499999999999995,129.0,0.09440242057488654,311.945420616036,1.0,0.4782501082121502,1.0,2,3.412613100023009,1.7063065500115044,8934,165,9099,"PASS: time_to_safe=129.0s, unsafe_fraction=0.094",
pump_degrade,0,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,43.24664889997803,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2134.0,2134.0,0,153,5,7842,310.0,10.5,0.03333333333333333,320.0,0.03426525741561541,311.76947788734117,0.5191130308481587,0.5850642751610533,1.0,1,1.4057715999661013,1.4057715999661013,4416,60,4476,"PASS: time_to_safe=320.0s, unsafe_fraction=0.034",
pump_degrade,1,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,42.11476910003694,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2226.0,2226.0,0,154,4,7842,310.0,10.5,0.03333333333333333,320.0,0.034811222722549356,311.7694778865757,0.5193383054890838,0.5850642751610533,1.0,1,1.4620999000035226,1.4620999000035226,4416,62,4478,"PASS: time_to_safe=320.0s, unsafe_fraction=0.035",
pump_degrade,2,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,39.906053000013344,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2206.0,2206.0,0,153,5,7842,310.0,10.5,0.03333333333333333,321.0,0.03486365205384881,311.7694778866995,0.5192565961362778,0.5850642751610533,1.0,1,1.2104936999967322,1.2104936999967322,4416,67,4483,"PASS: time_to_safe=321.0s, unsafe_fraction=0.035",
pump_degrade,3,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,39.97047430003295,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2058.0,2058.0,0,155,3,7842,310.0,10.5,0.03333333333333333,323.0,0.03433187478963312,311.7694778880691,0.5191282860065365,0.5850642751610533,1.0,1,1.262282799987588,1.262282799987588,4416,60,4476,"PASS: time_to_safe=323.0s, unsafe_fraction=0.034",
pump_degrade,4,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,41.07221710000886,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2235.0,2235.0,0,153,5,7842,310.0,10.5,0.03333333333333333,319.0,0.03469210754553339,311.7694778865316,0.5193640591984136,0.5850642751610533,1.0,1,1.3956509999698028,1.3956509999698028,4415,67,4482,"PASS: time_to_safe=319.0s, unsafe_fraction=0.035",
pump_degrade,5,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,37.66869919997407,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1997.0,1997.0,0,154,4,7842,310.0,10.5,0.03333333333333333,321.0,0.03364984174579377,311.76947788850885,0.5191148144906499,0.5850642751610533,1.0,1,1.2942884999793023,1.2942884999793023,4416,62,4478,"PASS: time_to_safe=321.0s, unsafe_fraction=0.034",
pump_degrade,6,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,38.662322899966966,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2065.0,2065.0,0,155,3,7842,310.0,10.5,0.03333333333333333,322.0,0.03420387531592249,311.76947788800817,0.5191207940793059,0.5850642751610533,1.0,1,1.5979438000358641,1.5979438000358641,4415,63,4478,"PASS: time_to_safe=322.0s, unsafe_fraction=0.034",
pump_degrade,7,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,39.24215449998155,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1930.0,1930.0,0,151,7,7842,310.0,10.5,0.03333333333333333,324.0,0.03377265238879736,311.76947788876237,0.5191098861018845,0.5850642751610533,1.0,1,1.2316511999815702,1.2316511999815702,4415,62,4477,"PASS: time_to_safe=324.0s, unsafe_fraction=0.034",
pump_degrade,8,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,37.86780619999627,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1951.0,1951.0,0,152,6,7842,310.0,10.5,0.03333333333333333,323.0,0.033724582575632336,311.7694778887052,0.519111093518833,0.5850642751610533,1.0,1,1.3045006999745965,1.3045006999745965,4415,58,4473,"PASS: time_to_safe=323.0s, unsafe_fraction=0.034",
pump_degrade,9,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,37.722056499973405,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1948.0,1948.0,0,155,3,7842,310.0,10.5,0.03333333333333333,322.0,0.03354263053536021,311.7694778887138,0.51911199171396,0.5850642751610533,1.0,1,1.5158981999848038,1.5158981999848038,4416,62,4478,"PASS: time_to_safe=322.0s, unsafe_fraction=0.034",
