fault,run,llm_model,detector_mode,success,reached_end,abort_reason,eval_pass,wall_time_s,sim_time_s,steps,final_t,final_phase,final_control_zone,final_safe_now,final_fault_flag,final_anomaly_ratio,final_control_reasons,acted,t_sp_change,time_to_first_action,reprompts,unsafe_seconds,warning_seconds,safe_seconds,final_T_sp,final_L_sp,final_Fin_sp,rollout_time_to_safe,rollout_unsafe_fraction,rollout_peak_T_meas,rollout_peak_u_cool,rollout_peak_u_valve,rollout_peak_u_pump,action_calls,action_latency_sum_s,action_latency_avg_s,action_prompt_tokens_sum,action_completion_tokens_sum,action_total_tokens_sum,eval_summary,eval_fail_reason
fouling,0,gpt-4o-mini,3sigma,1,1,t_end_reached,1,45.75611730001401,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4695.0,4695.0,1,385,265,7350,310.0,10.0,0.025499999999999995,129.0,0.09440242057488654,311.9453913750348,1.0,0.4782501082121502,1.0,2,3.7565519999479875,1.8782759999739937,8934,165,9099,"PASS: time_to_safe=129.0s, unsafe_fraction=0.094",
fouling,1,gpt-4o-mini,3sigma,1,1,t_end_reached,1,48.74133089999668,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4560.0,4560.0,1,466,245,7289,310.0,10.0,0.025499999999999995,129.0,0.1119186046511628,311.9450220942265,1.0,0.4806478443126794,1.0,2,6.322371799964458,3.161185899982229,8934,182,9116,"PASS: time_to_safe=129.0s, unsafe_fraction=0.112",
fouling,2,gpt-4o-mini,3sigma,1,1,t_end_reached,1,50.91987380001228,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4799.0,4799.0,2,337,209,7454,310.0,9.5,0.025499999999999995,119.0,0.06841611996251172,312.15461726120026,0.9959694110094447,0.48772599007731354,1.0,3,5.604025199951138,1.8680083999837127,13458,287,13745,"PASS: time_to_safe=119.0s, unsafe_fraction=0.068",
fouling,3,gpt-4o-mini,3sigma,1,1,t_end_reached,1,44.624255699978676,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4557.0,4557.0,1,455,244,7301,310.0,10.0,0.025499999999999995,129.0,0.11182108626198083,311.9450643599629,1.0,0.4811726256698267,1.0,2,3.792717600008473,1.8963588000042364,8932,169,9101,"PASS: time_to_safe=129.0s, unsafe_fraction=0.112",
fouling,4,gpt-4o-mini,3sigma,1,1,t_end_reached,1,42.28185759996995,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4764.0,4764.0,1,316,231,7453,310.0,10.0,0.025499999999999995,129.0,0.08034610630407911,311.970168259554,0.9999907206066471,0.4840719573585178,1.0,2,2.977096800052095,1.4885484000260476,8968,162,9130,"PASS: time_to_safe=129.0s, unsafe_fraction=0.080",
fouling,5,gpt-4o-mini,3sigma,1,1,t_end_reached,1,46.97657530003926,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4806.0,4806.0,1,296,243,7461,310.0,10.0,0.025499999999999995,129.0,0.07357545397620538,311.92265431876604,0.9961267843965577,0.48000425318600765,1.0,2,5.528778599982616,2.764389299991308,8934,178,9112,"PASS: time_to_safe=129.0s, unsafe_fraction=0.074",
fouling,6,gpt-4o-mini,3sigma,1,1,t_end_reached,1,75.39873499999521,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4639.0,4639.0,3,405,318,7277,310.0,10.0,0.025499999999999995,119.0,0.10056530794406426,312.1463921732916,1.0,0.4848709645368694,1.0,4,7.2334963999455795,1.8083740999863949,17966,333,18299,"PASS: time_to_safe=119.0s, unsafe_fraction=0.101",
fouling,7,gpt-4o-mini,3sigma,1,1,t_end_reached,1,45.031186699983664,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4557.0,4557.0,1,457,244,7299,310.0,10.0,0.025499999999999995,129.0,0.11240197502178333,311.9449537613683,1.0,0.4811726256698267,1.0,2,4.202133099955972,2.101066549977986,8932,158,9090,"PASS: time_to_safe=129.0s, unsafe_fraction=0.112",
fouling,8,gpt-4o-mini,3sigma,1,1,t_end_reached,1,44.49730719998479,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4577.0,4577.0,1,449,239,7312,310.0,10.0,0.025499999999999995,129.0,0.11072158924919662,311.9448958490267,1.0,0.4785448462780784,1.0,2,2.7885679000173695,1.3942839500086848,8932,158,9090,"PASS: time_to_safe=129.0s, unsafe_fraction=0.111",
fouling,9,gpt-4o-mini,3sigma,1,1,t_end_reached,1,42.252283499983605,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4515.0,4515.0,1,502,286,7212,310.0,10.0,0.025499999999999995,129.0,0.12080344332855093,311.9449533946106,1.0,0.4810923841651915,1.0,2,3.260300100024324,1.630150050012162,8934,169,9103,"PASS: time_to_safe=129.0s, unsafe_fraction=0.121",
pump_degrade,0,gpt-4o-mini,3sigma,1,1,t_end_reached,1,39.56147220003186,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2250.0,2250.0,0,153,5,7842,310.0,10.5,0.03333333333333333,322.0,0.035304347826086956,311.76947788648215,0.5193994313663546,0.5850642751610533,1.0,1,1.8663360999780707,1.8663360999780707,4415,63,4478,"PASS: time_to_safe=322.0s, unsafe_fraction=0.035",
pump_degrade,1,gpt-4o-mini,3sigma,1,1,t_end_reached,1,36.73830620001536,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1941.0,1941.0,0,155,3,7842,310.0,10.5,0.03333333333333333,322.0,0.03350387852780987,311.76947788873485,0.5191139218069651,0.5850642751610533,1.0,1,1.4810078999726102,1.4810078999726102,4416,67,4483,"PASS: time_to_safe=322.0s, unsafe_fraction=0.034",
pump_degrade,2,gpt-4o-mini,3sigma,1,1,t_end_reached,1,38.106612299976405,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1915.0,1915.0,0,152,6,7842,310.0,10.5,0.03333333333333333,322.0,0.033360723089564503,311.7694778887908,0.5191054120694757,0.5850642751610533,1.0,1,1.4712294000200927,1.4712294000200927,4416,60,4476,"PASS: time_to_safe=322.0s, unsafe_fraction=0.033",
pump_degrade,3,gpt-4o-mini,3sigma,1,1,t_end_reached,1,49.9781978999963,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2088.0,2088.0,0,154,4,7842,310.0,10.5,0.03333333333333333,319.0,0.03382949932341001,311.7694778877991,0.5191162094140959,0.5850642751610533,1.0,1,3.7091994000365958,3.7091994000365958,4416,58,4474,"PASS: time_to_safe=319.0s, unsafe_fraction=0.034",
pump_degrade,4,gpt-4o-mini,3sigma,1,1,t_end_reached,1,38.23164239997277,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2242.0,2242.0,0,153,5,7842,310.0,10.5,0.03333333333333333,320.0,0.03490795415074679,311.76947788650523,0.519384283323505,0.5850642751610533,1.0,1,1.3347117999801412,1.3347117999801412,4416,70,4486,"PASS: time_to_safe=320.0s, unsafe_fraction=0.035",
pump_degrade,5,gpt-4o-mini,3sigma,1,1,t_end_reached,1,38.10039229999529,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2080.0,2080.0,0,151,7,7842,310.0,10.5,0.03333333333333333,320.0,0.0339527027027027,311.769477887874,0.5191121112883784,0.5850642751610533,1.0,1,2.15785479999613,2.15785479999613,4416,74,4490,"PASS: time_to_safe=320.0s, unsafe_fraction=0.034",
pump_degrade,6,gpt-4o-mini,3sigma,1,1,t_end_reached,1,36.74503310001455,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1955.0,1955.0,0,153,5,7842,310.0,10.5,0.03333333333333333,322.0,0.03358147229114971,311.76947788869234,0.5191117232448408,0.5850642751610533,1.0,1,1.4511080000083894,1.4511080000083894,4416,62,4478,"PASS: time_to_safe=322.0s, unsafe_fraction=0.034",
pump_degrade,7,gpt-4o-mini,3sigma,1,1,t_end_reached,1,36.976310800004285,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1877.0,1877.0,0,155,3,7842,310.0,10.5,0.03333333333333333,318.0,0.03250040829658664,311.769477888819,0.5191089767509391,0.5850642751610533,1.0,1,1.4836397000472061,1.4836397000472061,4416,62,4478,"PASS: time_to_safe=318.0s, unsafe_fraction=0.033",
pump_degrade,8,gpt-4o-mini,3sigma,1,1,t_end_reached,1,36.97505639999872,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1974.0,1974.0,0,151,7,7842,310.0,10.5,0.03333333333333333,323.0,0.03385330235645536,311.7694778886166,0.5191147780212597,0.5850642751610533,1.0,1,1.8778629000298679,1.8778629000298679,4416,67,4483,"PASS: time_to_safe=323.0s, unsafe_fraction=0.034",
pump_degrade,9,gpt-4o-mini,3sigma,1,1,t_end_reached,1,39.745496099989396,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2169.0,2169.0,0,153,5,7842,310.0,10.5,0.03333333333333333,321.0,0.0346424283999314,311.76947788701386,0.5191442761340618,0.5850642751610533,1.0,1,2.59841769997729,2.59841769997729,4416,74,4490,"PASS: time_to_safe=321.0s, unsafe_fraction=0.035",
cool_stuck_closed,0,gpt-4o-mini,3sigma,0,1,t_end_reached,0,102.84901090001222,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1914.0,1914.0,5,33,12,7955,309.95,10.0,0.02833333333333333,,0.7757147551758133,315.7765043874418,0.3,0.517158321740092,1.0,6,14.488047300023027,2.414674550003838,26795,470,27265,FAIL: did not reach SAFE (persist 60.0s),no_recovery
cool_stuck_closed,1,gpt-4o-mini,3sigma,0,1,t_end_reached,0,104.13377509999555,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1863.0,1863.0,5,34,11,7955,309.5,10.0,0.02833333333333333,,0.7772527293465863,315.7762628074455,0.3,0.5111829692634349,1.0,6,10.967973000137135,1.8279955000228558,26795,511,27306,FAIL: did not reach SAFE (persist 60.0s),no_recovery
cool_stuck_closed,2,gpt-4o-mini,3sigma,0,1,t_end_reached,0,101.27049009996699,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1997.0,1997.0,5,39,6,7955,309.95,10.0,0.02833333333333333,,0.777944361152757,315.7765792001647,0.3,0.5088827255889485,1.0,6,11.26932050002506,1.87822008333751,26795,445,27240,FAIL: did not reach SAFE (persist 60.0s),no_recovery
cool_stuck_closed,3,gpt-4o-mini,3sigma,0,1,t_end_reached,0,102.65555980004137,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2054.0,2054.0,5,38,7,7955,309.5,10.0,0.02833333333333333,,0.7684157416750756,315.7765825858886,0.3,0.518861093259102,1.0,6,12.008271800121292,2.0013786333535486,26795,470,27265,FAIL: did not reach SAFE (persist 60.0s),no_recovery
cool_stuck_closed,4,gpt-4o-mini,3sigma,0,1,t_end_reached,0,97.13937609997811,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1914.0,1914.0,5,33,12,7955,309.95,10.0,0.02833333333333333,,0.7757147551758133,315.7765043874418,0.3,0.517158321740092,1.0,6,12.488180800108239,2.0813634666847065,26795,458,27253,FAIL: did not reach SAFE (persist 60.0s),no_recovery
cool_stuck_closed,5,gpt-4o-mini,3sigma,0,1,t_end_reached,0,92.76237440004479,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2158.0,2158.0,5,39,6,7955,309.0,10.0,0.025499999999999995,3542.0,0.12598425196850394,314.3346004512342,0.3,0.4889590187145876,1.0,6,11.19558749999851,1.8659312499997516,26795,472,27267,FAIL: recovery too slow (time_to_safe=3542.0s),slow_recovery
cool_stuck_closed,6,gpt-4o-mini,3sigma,0,1,t_end_reached,0,93.51180300000124,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1936.0,1936.0,5,32,7,7961,309.0,9.5,0.02833333333333333,,0.7778693931398417,315.8004194077453,0.3,0.5110950224796884,1.0,6,9.56132809992414,1.59355468332069,26795,409,27204,FAIL: did not reach SAFE (persist 60.0s),no_recovery
cool_stuck_closed,7,gpt-4o-mini,3sigma,1,1,t_end_reached,1,65.588849199994,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2134.0,2134.0,2,38,7,7955,309.95,10.0,0.025499999999999995,279.0,0.14422093419706786,314.6424835084301,0.3,0.480536846640236,1.0,3,8.322382399986964,2.7741274666623212,13361,231,13592,"PASS: time_to_safe=279.0s, unsafe_fraction=0.144",
cool_stuck_closed,8,gpt-4o-mini,3sigma,0,1,t_end_reached,0,91.89781699999003,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2183.0,2183.0,5,38,7,7955,309.5,10.0,0.02833333333333333,,0.7751418256833419,315.77658364605384,0.3,0.5196028564363901,1.0,6,10.67025540000759,1.778375900001265,26795,527,27322,FAIL: did not reach SAFE (persist 60.0s),no_recovery
cool_stuck_closed,9,gpt-4o-mini,3sigma,0,1,t_end_reached,0,102.42162959999405,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2175.0,2175.0,5,34,11,7955,309.0,10.0,0.025499999999999995,3610.0,0.13012875536480686,314.33460046538306,0.3,0.4841750278427749,1.0,6,9.620829100022092,1.6034715166703488,26795,445,27240,FAIL: recovery too slow (time_to_safe=3610.0s),slow_recovery
