model,prompt_level,fault,run,success,reached_end,sequence_correct,filling_correct,emptying_correct,sequence_similarity,skipped_states,correct_path,expected_path,planning_accuracy,planning_correct,planning_total,missed_transitions,actuator_accuracy,actuator_correct,actuator_total,physical_violations,reprompts,invalid_states,iterations,planning_calls,action_calls,planning_latency_avg,action_latency_avg,wall_time,final_state,abort_reason,sim_time,transitions_attempted,process_completion,first_try_rate_planning,first_try_rate_action,attempts_per_transition,planning_input_tokens,planning_output_tokens,action_input_tokens,action_output_tokens,total_input_tokens,total_output_tokens,total_tokens
gpt-4.1-mini,normal,pump_failure,0,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.1991873142958087,2.469257271416219,33.45591560000321,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31992,842,22133,892,54125,1734,55859
gpt-4.1-mini,normal,pump_failure,1,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.1604062285540357,2.6381886428571306,34.04331280000042,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31992,842,22133,921,54125,1763,55888
gpt-4.1-mini,normal,pump_failure,2,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.261121842852195,2.267827642865346,32.20037850004155,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31992,873,22133,891,54125,1764,55889
gpt-4.1-mini,normal,pump_failure,3,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.775009699997359,3.249120985706603,42.65742519998457,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31992,857,22133,915,54125,1772,55897
gpt-4.1-mini,normal,pump_failure,4,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.6197008285671473,2.4340725571465947,35.85519259999273,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31992,821,22133,896,54125,1717,55842
gpt-4.1-mini,normal,pump_failure,5,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.52277617143201,2.6875747428774566,36.92979020002531,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31992,854,22133,945,54125,1799,55924
gpt-4.1-mini,normal,pump_failure,6,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.302671499999373,2.2325446285623394,32.20351500000106,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31992,787,22133,936,54125,1723,55848
gpt-4.1-mini,normal,pump_failure,7,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.993188671426781,2.0761849000035517,28.983441499993205,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31992,819,22133,860,54125,1679,55804
gpt-4.1-mini,normal,pump_failure,8,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.6488701571444317,2.36056479999596,35.517038199992385,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31992,830,22133,933,54125,1763,55888
gpt-4.1-mini,normal,pump_failure,9,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.184557385717718,2.3230843857163563,31.99141990003409,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,31992,859,22133,933,54125,1792,55917
