model,prompt_level,fault,run,success,reached_end,sequence_correct,filling_correct,emptying_correct,sequence_similarity,skipped_states,correct_path,expected_path,planning_accuracy,planning_correct,planning_total,missed_transitions,actuator_accuracy,actuator_correct,actuator_total,physical_violations,reprompts,invalid_states,iterations,planning_calls,action_calls,planning_latency_avg,action_latency_avg,wall_time,final_state,abort_reason,sim_time,transitions_attempted,process_completion,first_try_rate_planning,first_try_rate_action,attempts_per_transition,planning_input_tokens,planning_output_tokens,action_input_tokens,action_output_tokens,total_input_tokens,total_output_tokens,total_tokens
gpt-4o-mini,normal,pump_failure,0,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.65,39,60,0,5,0,1,1,6,1.478171399969142,2.4577076666464563,17.14954090001993,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4566,57,19621,912,24187,969,25156
gpt-4o-mini,normal,pump_failure,1,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.65,39,60,0,5,0,1,1,6,1.392639500030782,2.2870421500119846,15.465206100023352,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4566,58,19621,922,24187,980,25167
gpt-4o-mini,normal,pump_failure,2,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.6666666666666666,40,60,0,5,0,1,1,6,1.293620300013572,2.2572648833253575,15.167498499969952,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4566,58,19621,902,24187,960,25147
gpt-4o-mini,normal,pump_failure,3,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.65,39,60,0,5,0,1,1,6,1.6367096999892965,2.3049900499948612,15.79235519998474,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4566,70,19621,912,24187,982,25169
gpt-4o-mini,normal,pump_failure,4,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.65,39,60,0,5,0,1,1,6,1.4378977000014856,2.541139349991378,17.006133900023997,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4566,58,19621,935,24187,993,25180
gpt-4o-mini,normal,pump_failure,5,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.65,39,60,0,5,0,1,1,6,1.2239448999753222,2.4899491666583344,16.47706169995945,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4566,58,19621,930,24187,988,25175
gpt-4o-mini,normal,pump_failure,6,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.65,39,60,0,5,0,1,1,6,1.4684446000028402,2.622279883323548,17.52799660002347,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4566,66,19621,942,24187,1008,25195
gpt-4o-mini,normal,pump_failure,7,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.65,39,60,0,5,0,1,1,6,1.3898142999969423,2.7542984666749057,18.238171600038186,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4566,58,19621,944,24187,1002,25189
gpt-4o-mini,normal,pump_failure,8,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.65,39,60,0,5,0,1,1,6,1.6011861999868415,2.771369283349486,18.54784939996898,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4566,58,19621,860,24187,918,25105
gpt-4o-mini,normal,pump_failure,9,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.6666666666666666,40,60,0,5,0,1,1,6,1.087945400038734,2.371587349984717,15.61126219999278,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4566,57,19621,899,24187,956,25143
gpt-4o-mini,normal,pump_degradation,0,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.65,39,60,0,5,0,1,1,6,1.61081360001117,3.1905270333227236,21.06684200000018,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4567,59,19627,927,24194,986,25180
gpt-4o-mini,normal,pump_degradation,1,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.65,39,60,0,5,0,1,1,6,1.2696948000229895,2.5867755000072066,17.109002799959853,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4567,59,19627,927,24194,986,25180
gpt-4o-mini,normal,pump_degradation,2,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.65,39,60,0,5,0,1,1,6,1.6595633000251837,3.72941605001688,24.37290929997107,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4567,59,19627,926,24194,985,25179
gpt-4o-mini,normal,pump_degradation,3,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.65,39,60,0,5,0,1,1,6,1.8894350999617018,3.1779735166734704,21.255821999977343,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4567,59,19627,956,24194,1015,25209
gpt-4o-mini,normal,pump_degradation,4,0,0,0,0,0,0.0,7,0,bypass,1.0,1,1,0,0.65,39,60,0,5,0,1,1,6,1.382750099990517,3.0489545666787308,19.911585800000466,state_initialStep,reprompt_limit,0,1,0.14285714285714285,1.0,0.0,1.0,4567,59,19627,932,24194,991,25185
