model,prompt_level,fault,run,success,reached_end,sequence_correct,filling_correct,emptying_correct,sequence_similarity,skipped_states,correct_path,expected_path,planning_accuracy,planning_correct,planning_total,missed_transitions,actuator_accuracy,actuator_correct,actuator_total,physical_violations,reprompts,invalid_states,iterations,planning_calls,action_calls,planning_latency_avg,action_latency_avg,wall_time,final_state,abort_reason,sim_time,transitions_attempted,process_completion,first_try_rate_planning,first_try_rate_action,attempts_per_transition,planning_input_tokens,planning_output_tokens,action_input_tokens,action_output_tokens,total_input_tokens,total_output_tokens,total_tokens
gpt-4.1-mini,normal,pump_failure,0,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,3.007773971584226,2.233049457227545,38.65040760021657,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,801,21979,836,54139,1637,55776
gpt-4.1-mini,normal,pump_failure,1,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.8246173999671425,2.4149109856890782,36.95444419980049,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,879,21979,848,54139,1727,55866
gpt-4.1-mini,normal,pump_failure,2,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.4596374141318456,2.6970753142876283,36.395795499905944,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,881,21979,840,54139,1721,55860
gpt-4.1-mini,normal,pump_failure,3,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.12454832864127,2.187415400120829,30.44662780035287,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,826,21979,856,54139,1682,55821
gpt-4.1-mini,normal,pump_failure,4,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.3282154000231197,2.0127589999298965,30.701513700187206,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,849,21979,822,54139,1671,55810
gpt-4.1-mini,normal,pump_failure,5,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.516654185551618,2.4544835002826795,35.10813870001584,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,868,21979,822,54139,1690,55829
gpt-4.1-mini,normal,pump_failure,6,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.555442514297153,2.5738606145605445,36.19983929954469,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,853,21979,834,54139,1687,55826
gpt-4.1-mini,normal,pump_failure,7,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.6920625572758063,2.5245158998295665,36.77622519992292,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,862,21979,859,54139,1721,55860
gpt-4.1-mini,normal,pump_failure,8,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.533986742741295,2.4705288287784373,35.373126099817455,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,861,21979,851,54139,1712,55851
gpt-4.1-mini,normal,pump_failure,9,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,3.0623863143846393,2.319927385742111,37.98041179962456,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,830,21979,818,54139,1648,55787
