model,prompt_level,fault,run,success,reached_end,sequence_correct,filling_correct,emptying_correct,sequence_similarity,skipped_states,correct_path,expected_path,planning_accuracy,planning_correct,planning_total,missed_transitions,actuator_accuracy,actuator_correct,actuator_total,physical_violations,reprompts,invalid_states,iterations,planning_calls,action_calls,planning_latency_avg,action_latency_avg,wall_time,final_state,abort_reason,sim_time,transitions_attempted,process_completion,first_try_rate_planning,first_try_rate_action,attempts_per_transition,planning_input_tokens,planning_output_tokens,action_input_tokens,action_output_tokens,total_input_tokens,total_output_tokens,total_tokens
gpt-4o-mini,normal,pump_failure,0,1,1,1,1,1,1.0,0,1,bypass,0.875,7,8,0,1.0,80,80,0,1,0,8,8,8,2.0765111123910174,3.5875217500142753,46.75099390000105,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,36975,640,25854,912,62829,1552,64381
gpt-4o-mini,normal,pump_failure,1,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.0761333713307977,3.3271764998457263,38.02778219990432,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,528,22623,777,54783,1305,56088
gpt-4o-mini,normal,pump_failure,2,1,1,1,1,1,1.0,0,1,bypass,0.875,7,8,0,1.0,80,80,0,1,0,8,8,8,2.0463662249967456,2.9397056251764297,40.12029880005866,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,36975,618,25854,894,62829,1512,64341
gpt-4o-mini,normal,pump_failure,3,1,1,1,1,1,1.0,0,1,bypass,0.7777777777777778,7,9,1,1.0,90,90,0,2,0,8,9,9,2.3322095554322004,3.4187638556791677,52.1243171999231,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.7142857142857143,1.0,1.2857142857142858,41766,705,29085,1011,70851,1716,72567
gpt-4o-mini,normal,pump_failure,4,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.9344317141388143,3.3083508141072735,36.94989959988743,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,537,22623,760,54783,1297,56080
gpt-4o-mini,normal,pump_failure,5,1,1,1,1,1,1.0,0,1,bypass,0.875,7,8,1,1.0,80,80,0,1,0,8,8,8,2.320323012303561,2.5254845249000937,39.04247239977121,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,36951,636,25854,888,62805,1524,64329
gpt-4o-mini,normal,pump_failure,6,1,1,1,1,1,1.0,0,1,bypass,0.875,7,8,0,1.0,80,80,0,1,0,8,8,8,2.128608462284319,2.737529812613502,39.285273499786854,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,36975,618,25854,896,62829,1514,64343
gpt-4o-mini,normal,pump_failure,7,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.9852754570809859,2.4583425572408095,31.371926800347865,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,526,22623,758,54783,1284,56067
gpt-4o-mini,normal,pump_failure,8,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.9097517426790935,2.2840692857280374,29.606800300069153,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32160,508,22623,757,54783,1265,56048
gpt-4o-mini,normal,pump_failure,9,1,1,1,1,1,1.0,0,1,bypass,0.875,7,8,0,1.0,80,80,0,1,0,8,8,8,1.8176019872771576,2.2684423002647236,33.043335400521755,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,36975,623,25854,872,62829,1495,64324
gpt-4o-mini,normal,pump_degradation,0,0,0,0,0,0,0.0,7,0,bypass,1.0,6,6,0,0.8,48,60,0,5,0,1,1,6,1.931708900257945,2.9388332501985133,19.74046130012721,state_initialStep,reprompt_limit,0.0,1,0.14285714285714285,1.0,0.0,1.0,4591,69,19907,865,24498,934,25432
gpt-4o-mini,normal,pump_degradation,1,1,1,1,1,1,1.0,0,1,bypass,0.875,7,8,0,1.0,80,80,0,1,0,8,8,8,1.8121094750240445,2.1537292499560863,31.949466099962592,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,36983,633,25862,865,62845,1498,64343
gpt-4o-mini,normal,pump_degradation,2,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,1.7941232713471567,2.2937012429216077,29.173952399753034,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32167,552,22630,745,54797,1297,56094
gpt-4o-mini,normal,pump_degradation,3,1,1,1,1,1,1.0,0,1,bypass,0.8888888888888888,8,9,0,0.9888888888888889,89,90,0,2,0,8,8,9,1.9644098875578493,2.330737733385629,37.84601220022887,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,0.8571428571428571,1.1428571428571428,36983,665,29197,969,66180,1634,67814
gpt-4o-mini,normal,pump_degradation,4,0,0,0,0,0,0.0,7,0,bypass,1.0,6,6,0,0.8,48,60,0,5,0,1,1,6,2.1008106004446745,3.4606237332336605,24.90609149914235,state_initialStep,reprompt_limit,0.0,1,0.14285714285714285,1.0,0.0,1.0,4591,63,19907,892,24498,955,25453
gpt-4o-mini,normal,pump_degradation,5,0,0,0,0,0,0.0,7,0,bypass,1.0,6,6,0,0.8,48,60,0,5,0,1,1,6,2.643927499651909,3.311325516862174,22.775584200397134,state_initialStep,reprompt_limit,0.0,1,0.14285714285714285,1.0,0.0,1.0,4591,69,19907,857,24498,926,25424
gpt-4o-mini,normal,pump_degradation,6,0,0,0,0,0,0.0,7,0,bypass,1.0,6,6,0,0.8,48,60,0,5,0,1,1,6,1.8121193991973996,2.8762412667274475,19.355793099850416,state_initialStep,reprompt_limit,0.0,1,0.14285714285714285,1.0,0.0,1.0,4591,63,19907,863,24498,926,25424
gpt-4o-mini,normal,pump_degradation,7,0,0,0,0,0,0.0,7,0,bypass,1.0,6,6,0,0.8,48,60,0,5,0,1,1,6,3.3771715005859733,5.864478449802846,39.063109000213444,state_initialStep,reprompt_limit,0.0,1,0.14285714285714285,1.0,0.0,1.0,4591,63,19907,885,24498,948,25446
gpt-4o-mini,normal,pump_degradation,8,1,1,1,1,1,1.0,0,1,bypass,0.875,7,8,0,1.0,80,80,0,1,0,8,8,8,3.539169300114736,3.158814112422988,54.23662299942225,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,36983,637,25862,866,62845,1503,64348
gpt-4o-mini,normal,pump_degradation,9,1,1,1,1,1,1.0,0,1,bypass,0.875,7,8,0,1.0,80,80,0,1,0,8,8,8,2.941205537528731,3.2591637251898646,53.12416729982942,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,36983,625,25862,859,62845,1484,64329
gpt-4o-mini,normal,clogging_fault,0,1,1,1,1,1,1.0,0,1,bypass,0.8888888888888888,8,9,0,0.9777777777777777,88,90,0,2,0,8,8,9,2.6844661625800654,3.1495828443310327,50.26886219996959,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,0.8571428571428571,1.1428571428571428,37007,675,29224,1060,66231,1735,67966
gpt-4o-mini,normal,clogging_fault,1,1,1,1,1,1,1.0,0,1,bypass,1.0,8,8,0,0.975,78,80,0,1,0,8,7,8,4.483536642710013,2.8342554998816922,54.81978579983115,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,0.8571428571428571,1.0,32188,575,25989,911,58177,1486,59663
gpt-4o-mini,normal,clogging_fault,2,1,1,1,1,1,1.0,0,1,bypass,0.8888888888888888,8,9,0,0.9777777777777777,88,90,0,2,0,8,8,9,2.530588125111535,2.9173156776361995,46.83497820049524,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,0.8571428571428571,1.1428571428571428,37007,702,29224,1077,66231,1779,68010
gpt-4o-mini,normal,clogging_fault,3,1,1,1,1,1,1.0,0,1,bypass,1.0,7,7,0,1.0,70,70,0,0,0,8,7,7,2.8272166571446826,4.276241442720805,50.03128399979323,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,1.0,1.0,1.0,32188,558,22651,763,54839,1321,56160
gpt-4o-mini,normal,clogging_fault,4,1,1,1,1,1,1.0,0,1,bypass,0.875,7,8,0,1.0,80,80,0,1,0,8,8,8,3.7168170750373974,3.9099419249687344,61.391985500231385,state_emptying_tank_B204,success,0.30000000000000004,7,1.0,0.8571428571428571,1.0,1.1428571428571428,37007,687,25886,917,62893,1604,64497
