fault,variant,run,accuracy,curr_state_final,itr_final,reprompts,invalid_actuator_events,planning_calls,action_calls,planning_latency_total_s,action_latency_total_s,wall_time_total_s,sim_time_total,steps_total,success_flag,success_itr,success_sim_time,visited_target,visited_states_n,reprompt_events_n
clogging_fault,full_system,0,1,state_emptying_tank_B204,7,0,0,6,6,7.9479783999267966,14.358282200118992,0.0,9.700000000000001,7,1,7,9.700000000000001,1,7,0
clogging_fault,full_system,1,1,state_emptying_tank_B204,7,0,0,6,6,6.751871999993455,21.395146299910266,0.0,9.700000000000001,7,1,7,9.700000000000001,1,7,0
clogging_fault,full_system,2,1,state_emptying_tank_B204,7,0,0,6,6,6.246394399960991,14.916384299984202,0.0,9.3,7,1,7,9.3,1,7,0
clogging_fault,full_system,3,1,state_emptying_tank_B204,7,0,0,6,6,10.283140199957415,15.541789999988396,0.0,9.4,7,1,7,9.4,1,7,0
clogging_fault,full_system,4,1,state_emptying_tank_B204,7,0,0,6,6,6.6385127999819815,16.92181700002402,0.0,9.700000000000001,7,1,7,9.700000000000001,1,7,0
clogging_fault,full_system,5,1,state_emptying_tank_B204,7,0,0,6,6,8.909572999982629,14.496255000063684,0.0,9.8,7,1,7,9.8,1,7,0
clogging_fault,full_system,6,1,state_emptying_tank_B204,7,0,0,6,6,6.05808349995641,15.351265100005548,0.0,9.600000000000001,7,1,7,9.600000000000001,1,7,0
clogging_fault,full_system,7,1,state_emptying_tank_B204,7,0,0,6,6,6.787129200005438,19.139290200022515,0.0,9.8,7,1,7,9.8,1,7,0
clogging_fault,full_system,8,1,state_emptying_tank_B204,7,0,0,6,6,8.930212500039488,20.816020599973854,0.0,9.700000000000001,7,1,7,9.700000000000001,1,7,0
clogging_fault,full_system,9,1,state_emptying_tank_B204,7,0,0,6,6,7.811707100016065,15.871904400002677,0.0,9.400000000000002,7,1,7,9.400000000000002,1,7,0
pump_failure,full_system,0,1,state_emptying_tank_B204,7,0,0,6,6,7.668569400033448,15.999154699966311,0.0,9.600000000000001,7,1,7,9.600000000000001,1,7,0
pump_failure,full_system,1,1,state_emptying_tank_B204,7,0,0,6,6,13.365334500093013,20.90123300004052,0.0,9.600000000000001,7,1,7,9.600000000000001,1,7,0
