fault,run,llm_model,detector_mode,success,reached_end,abort_reason,eval_pass,wall_time_s,sim_time_s,steps,final_t,final_phase,final_control_zone,final_safe_now,final_fault_flag,final_anomaly_ratio,final_control_reasons,acted,t_sp_change,time_to_first_action,reprompts,unsafe_seconds,warning_seconds,safe_seconds,final_T_sp,final_L_sp,final_Fin_sp,rollout_time_to_safe,rollout_unsafe_fraction,rollout_peak_T_meas,rollout_peak_u_cool,rollout_peak_u_valve,rollout_peak_u_pump,action_calls,action_latency_sum_s,action_latency_avg_s,action_prompt_tokens_sum,action_completion_tokens_sum,action_total_tokens_sum,eval_summary,eval_fail_reason
fouling,0,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,43.46011270000599,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4813.0,4813.0,1,141,114,7745,310.0,9.9,0.025,119.0,0.06492912665752172,312.3067231911535,0.978085395252257,0.48093544255998005,0.44322305957405395,2,4.133811299980152,2.066905649990076,8968,203,9171,"PASS: time_to_safe=119.0s, unsafe_fraction=0.065",
fouling,1,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,39.29778779996559,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4795.0,4795.0,1,162,134,7704,310.0,9.95,0.025,119.0,0.06938775510204082,312.30679998250594,0.9804444355767834,0.4791509792038755,0.4291561972144897,2,4.15262360003544,2.07631180001772,8934,196,9130,"PASS: time_to_safe=119.0s, unsafe_fraction=0.069",
fouling,2,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,39.67587850004202,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4738.0,4738.0,1,194,132,7674,310.0,9.9,0.025,119.0,0.08222811671087533,312.3064633488407,0.985413449223151,0.47643965279280676,0.4292573312146976,2,2.9470885999617167,1.4735442999808583,8952,177,9129,"PASS: time_to_safe=119.0s, unsafe_fraction=0.082",
fouling,3,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,44.88051789999008,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4540.0,4540.0,2,344,352,7304,309.95,9.95,0.025,131.0,0.10040650406504065,312.446763125145,0.9999006471709629,0.4929332926221552,0.43418189086885745,3,4.3040832000551745,1.4346944000183914,13477,285,13762,"PASS: time_to_safe=131.0s, unsafe_fraction=0.100",
fouling,4,gpt-4.1-mini,3sigma,0,1,t_end_reached,0,66.89551970001776,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4506.0,4506.0,5,1327,432,6241,310.0,9.9,0.028,175.0,0.4707297514033681,313.40148764723784,1.0,0.5001041411362992,0.43284695278517044,6,10.030461599992123,1.6717435999986872,26956,613,27569,FAIL: unsafe_fraction too high (0.471),unsafe_fraction
fouling,5,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,40.23226750001777,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4524.0,4524.0,1,337,259,7404,310.0,10.0,0.025,119.0,0.11187399030694668,312.3084953802333,0.9999981969416204,0.4743557013174681,0.4071488419015969,2,3.2672443000483327,1.6336221500241663,8934,186,9120,"PASS: time_to_safe=119.0s, unsafe_fraction=0.112",
fouling,6,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,38.07183720002649,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4596.0,4596.0,1,289,176,7535,310.0,9.95,0.025,119.0,0.10357737104825292,312.3079494942229,0.9990128600276541,0.4790523773864826,0.4308835820615257,2,3.0682709999964572,1.5341354999982286,8934,192,9126,"PASS: time_to_safe=119.0s, unsafe_fraction=0.104",
fouling,7,gpt-4.1-mini,3sigma,0,1,t_end_reached,0,63.30566529999487,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4627.0,4627.0,5,1207,354,6439,310.0,9.9,0.028,198.0,0.44584913611462285,313.0105842993667,1.0,0.5027106620240348,0.4356014466141167,6,9.578316699888092,1.5963861166480153,26962,597,27559,FAIL: unsafe_fraction too high (0.446),unsafe_fraction
fouling,8,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,37.03023800003575,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4645.0,4645.0,1,265,140,7595,310.0,10.0,0.025,119.0,0.09978768577494693,312.307993317384,0.9964571152739183,0.47651878781100354,0.4153783660265367,2,2.916990800003987,1.4584954000019934,8932,179,9111,"PASS: time_to_safe=119.0s, unsafe_fraction=0.100",
fouling,9,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,38.42623199999798,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,4601.0,4601.0,1,289,169,7542,310.0,9.9,0.025,119.0,0.10295956648603585,312.3065356125764,0.9987257775516867,0.4766415368078983,0.433658740424559,2,3.4461681999382563,1.7230840999691281,8968,205,9173,"PASS: time_to_safe=119.0s, unsafe_fraction=0.103",
pump_degrade,0,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,36.14227559999563,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2083.0,2083.0,0,162,58,7780,310.0,10.05,0.03333333333333333,177.0,0.01647345942647956,311.77324462580134,0.5190142386062458,0.5850642751610533,0.9711598121833908,1,1.8916437999578193,1.8916437999578193,4416,97,4513,"PASS: time_to_safe=177.0s, unsafe_fraction=0.016",
pump_degrade,1,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,37.5776429999969,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1863.0,1863.0,0,153,5,7842,310.0,10.5,0.03333333333333333,319.0,0.038933229511387966,311.7694778888159,0.5191081324457016,0.5850642751610533,0.9129382024353268,1,2.5783413000172004,2.5783413000172004,4416,92,4508,"PASS: time_to_safe=319.0s, unsafe_fraction=0.039",
pump_degrade,2,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,37.537251200003084,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2234.0,2234.0,0,153,5,7842,310.0,10.5,0.03333333333333333,319.0,0.0419639110365086,311.76947788653615,0.5193618912966047,0.5850642751610533,0.9068569834689745,1,2.4386408999562263,2.4386408999562263,4416,100,4516,"PASS: time_to_safe=319.0s, unsafe_fraction=0.042",
pump_degrade,3,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,38.30338119994849,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2020.0,2020.0,0,158,5,7837,310.05,10.7,0.03333333333333333,483.0,0.07309236947791165,311.81747869816263,0.5169964039878405,0.5850642751610533,0.8810217889908566,1,2.008117499994114,2.008117499994114,4415,104,4519,"PASS: time_to_safe=483.0s, unsafe_fraction=0.073",
pump_degrade,4,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,40.29699490003986,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1930.0,1930.0,0,158,4,7838,310.0,10.7,0.03333333333333333,481.0,0.07140039447731755,311.76795826323905,0.5191669953818716,0.5850642751610533,0.8801265584815834,1,4.589213599974755,4.589213599974755,4415,104,4519,"PASS: time_to_safe=481.0s, unsafe_fraction=0.071",
pump_degrade,5,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,36.82544190000044,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1876.0,1876.0,0,168,52,7780,310.0,10.05,0.03333333333333333,176.0,0.0156128024980484,311.7732446256573,0.5192165399648191,0.5850642751610533,0.9661623537791918,1,1.8225887999869883,1.8225887999869883,4416,89,4505,"PASS: time_to_safe=176.0s, unsafe_fraction=0.016",
pump_degrade,6,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,38.74071290000575,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2092.0,2092.0,0,166,54,7780,310.0,10.05,0.03333333333333333,178.0,0.017318663406682967,311.7732446257437,0.5190196758149127,0.5850642751610533,0.9692346130682551,1,4.661693400004879,4.661693400004879,4416,96,4512,"PASS: time_to_safe=178.0s, unsafe_fraction=0.017",
pump_degrade,7,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,35.99964260001434,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2127.0,2127.0,0,155,3,7842,310.0,10.5,0.03333333333333333,320.0,0.04124769136055818,311.76947788741245,0.5191173718076721,0.5850642751610533,0.9070677064078494,1,2.910058100009337,2.910058100009337,4416,121,4537,"PASS: time_to_safe=320.0s, unsafe_fraction=0.041",
pump_degrade,8,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,35.14535100001376,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1970.0,1970.0,0,167,52,7781,310.0,10.05,0.03333333333333333,177.0,0.018489065606361828,311.7732446259731,0.5191518085657498,0.5850642751610533,0.9678610042080564,1,1.6018482000217773,1.6018482000217773,4416,96,4512,"PASS: time_to_safe=177.0s, unsafe_fraction=0.018",
pump_degrade,9,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,34.548001599963754,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2101.0,2101.0,0,167,54,7779,310.0,10.05,0.03333333333333333,178.0,0.01653398652786283,311.7732446256774,0.5190254988738877,0.5850642751610533,0.9663120682501976,1,1.544617899984587,1.544617899984587,4416,99,4515,"PASS: time_to_safe=178.0s, unsafe_fraction=0.017",
cool_stuck_closed,0,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,67.94798840000294,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1925.0,1925.0,2,26,19,7955,309.85,10.0,0.02333333333333333,119.0,0.001379310344827586,313.31792618731055,0.3,0.4629530567973904,0.4202316030890387,3,7.185807499976363,2.3952691666587875,13358,308,13666,"PASS: time_to_safe=119.0s, unsafe_fraction=0.001",
cool_stuck_closed,1,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,72.11281790002249,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2061.0,2061.0,2,34,11,7955,309.9,10.0,0.02333333333333333,168.0,0.0014172909495849362,313.5112023782645,0.3,0.47359032797312023,0.4226318948618645,3,6.886940400057938,2.2956468000193126,13361,337,13698,"PASS: time_to_safe=168.0s, unsafe_fraction=0.001",
cool_stuck_closed,2,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,73.64003259997116,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1887.0,1887.0,2,32,12,7956,309.9,9.9,0.02333333333333333,179.0,0.0013690592607079992,313.38586562394124,0.3,0.4630677075037381,0.43997014541740725,3,5.413289899996016,1.8044299666653387,13361,309,13670,"PASS: time_to_safe=179.0s, unsafe_fraction=0.001",
cool_stuck_closed,3,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,74.59627159999218,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2198.0,2198.0,2,37,8,7955,309.9,10.0,0.02333333333333333,220.0,0.0012494793835901709,313.79292490814805,0.3,0.46490267960560694,0.40868416814103237,3,6.2578321999753825,2.085944066658461,13361,303,13664,"PASS: time_to_safe=220.0s, unsafe_fraction=0.001",
cool_stuck_closed,4,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,76.83979659999022,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2154.0,2154.0,2,36,9,7955,309.9,10.0,0.023333333333333334,176.0,0.0014444903012794056,313.6491259774748,0.3,0.4685421642842085,0.4302974201594945,3,6.015282699954696,2.005094233318232,13358,304,13662,"PASS: time_to_safe=176.0s, unsafe_fraction=0.001",
cool_stuck_closed,5,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,74.90473779995227,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2064.0,2064.0,2,35,10,7955,309.9,10.0,0.023333333333333334,171.0,0.0012155591572123178,313.44654114939783,0.3,0.47204685819914494,0.41277825930655054,3,5.222120099992026,1.740706699997342,13361,313,13674,"PASS: time_to_safe=171.0s, unsafe_fraction=0.001",
cool_stuck_closed,6,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,74.25870139995823,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2155.0,2155.0,2,37,8,7955,309.9,10.0,0.02333333333333333,177.0,0.001651186790505676,313.67179781398784,0.3,0.4772488556902835,0.40704969047302025,3,7.284042600076646,2.4280142000255487,13361,299,13660,"PASS: time_to_safe=177.0s, unsafe_fraction=0.002",
cool_stuck_closed,7,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,73.14187210000819,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1898.0,1898.0,2,35,10,7955,309.9,10.0,0.023333333333333334,119.0,0.0013720109760878088,313.4106334051959,0.3,0.4617340729505475,0.4155969768670225,3,5.474360699940007,1.8247868999800023,13358,303,13661,"PASS: time_to_safe=119.0s, unsafe_fraction=0.001",
cool_stuck_closed,8,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,73.55161060002865,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,1986.0,1986.0,2,34,11,7955,309.9,10.0,0.023333333333333334,148.0,0.0017949740725967292,313.5654814156785,0.3,0.45842558377776427,0.4181782862674524,3,5.070947600004729,1.690315866668243,13361,296,13657,"PASS: time_to_safe=148.0s, unsafe_fraction=0.002",
cool_stuck_closed,9,gpt-4.1-mini,3sigma,1,1,t_end_reached,1,72.77423460001592,8000.0,8000,8000.0,SHUTDOWN,SAFE,0,0,0.0,,1,2225.0,2225.0,2,34,11,7955,309.9,10.0,0.02333333333333333,235.0,0.0010471204188481676,313.3870101298153,0.3,0.47451316877633504,0.4160704002042295,3,5.808240799931809,1.9360802666439365,13361,313,13674,"PASS: time_to_safe=235.0s, unsafe_fraction=0.001",
